index,sentences,greeting,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement
25850,how about you get the hats and the book and i get all the balls ?,,,,,,,,,
25851,"if i give you a ball , i'll need the book then",,,,,,,,,
25852,no deal then ?,,,,,,,,,
25853,"agreed , no deal .",,,,,,,,,
25854,you keep the ball and i get the rest,,,,,,,,,
25855,"one book and one hat and one ball for you , fair",,,,,,,,,
25856,i take books and you keep the rest,,,,,,,,,
25857,no deal,,,,,,,,,
25858,no deal,,,,,,,,,
25859,thanks but i want the books and the ball,,,,,,,,,
25860,not fair for me sorry . no deal,,,,,,,,,
25861,nope sorry . i need the ball and books or no deal,,,,,,,,,
25862,no deal,,,,,,,,,
25863,no deal,,,,,,,,,
25864,i need the hat and the ball you can have the books,,,,,,,,,
25865,then i need the hat and at least 3 books,,,,,,,,,
25866,deal,,,,,,,,,
25867,i need the ball for the deal .,,,,,,,,,
25868,ball and two books is perfectly fair,,,,,,,,,
25869,can i have the books ? i really like books .,,,,,,,,,
25870,sure,,,,,,,,,
25871,"yes i will take the rest , ok ?",,,,,,,,,
25872,no . there's only one hat . i would like the hat and you can have everything else .,,,,,,,,,
25873,no i want the hat,,,,,,,,,
25874,me neither .,,,,,,,,,
25875,you can have the balls . i'd like the hat and 1 book .,,,,,,,,,
25876,deal .,,,,,,,,,
25877,can i get 2 hats ?,,,,,,,,,
25878,"you can have the 3 books , but not the hat or ball",,,,,,,,,
25879,not giving that one up,,,,,,,,,
25880,how about the balls ?,,,,,,,,,
25881,"ok , so i get 2 balls and you get the hat and the book",,,,,,,,,
25882,deal agreed button isn't working on my end,,,,,,,,,
25883,i'll take the book and ball if you want the hats,,,,,,,,,
25884,hats have 0 value for me,,,,,,,,,
25885,"take the balls , i'll take the rest",,,,,,,,,
25886,you let me have the balls you can the book and all three hats .,,,,,,,,,
25887,"going to straight level with you , the balls are the only thing that has value for me .",,,,,,,,,
25888,"sure , i will take two hats and give you two balls .",,,,,,,,,
25889,two hats for two balls,,,,,,,,,
25890,k,,,,,,,,,
25891,"i'd like both balls , you can keep everything else .",,,,,,,,,
25892,sounds good,,,,,,,,,
25893,hello chap . i would be much obliged if i could get the two books and 2 hats .,,,,,,,,,
25894,"how about we each get 1 book then since we both want them . 1 of each thing ? 1 book , 1 ball , 1 hat ?",,,,,,,,,
25895,okay . so then i will take 1 book and the 2 balls ? and you the 2 hats ?,,,,,,,,,
25896,"that's the only thing of value . balls are useless to me . how about i take two books and 1 hat , you take the rest ?",,,,,,,,,
25897,"ball is useless to me . . no points . can you propose something better ? i'm ok with one book , two hats ?",,,,,,,,,
25898,deal,,,,,,,,,
25899,are you willing to let go of the hat for the rest of the stuff ?,,,,,,,,,
25900,"okay , i will take two books and the ball .",,,,,,,,,
25901,yes .,,,,,,,,,
25902,"hello , how about the hat and 2 books for me , 2 books and the ball for you ?",,,,,,,,,
25903,i really need the hat . i can let go of anything else though .,,,,,,,,,
25904,so you just want 2 books and the ball ? i get the hat and 2 books ?,,,,,,,,,
25905,i need the balls,,,,,,,,,
25906,"let's split the balls , one each . you can have the book if i get the hats",,,,,,,,,
25907,"i'd like 2 balls , an 1 book please .",,,,,,,,,
25908,so do i . i'll take all balls you can have the rest .,,,,,,,,,
25909,"deal . i'll take 1 ball , 1 book and you can have the hats .",,,,,,,,,
25910,that sounds good .,,,,,,,,,
25911,"one hat and one ball for me , the rest for you",,,,,,,,,
25912,i need 2 hats and 2 balls .,,,,,,,,,
25913,deal,,,,,,,,,
25914,you can have two hats and one ball,,,,,,,,,
25915,deal .,,,,,,,,,
25916,im sorry i cant let go of the ball . i can offer you 2 hats and a book,,,,,,,,,
25917,i would like your book,,,,,,,,,
25918,i can give you a couple hats,,,,,,,,,
25919,i will give you the ball and 2 hats,,,,,,,,,
25920,sounds good,,,,,,,,,
25921,deal,,,,,,,,,
25922,i get ball and 3 hats,,,,,,,,,
25923,deal,,,,,,,,,
25924,i need the book or we wont get anywhere . so the book and two balls for me ?,,,,,,,,,
25925,i'd like the hat and book,,,,,,,,,
25926,deal,,,,,,,,,
25927,okay deal .,,,,,,,,,
25928,i'd just like a book,,,,,,,,,
25929,"happiness , financial stability , the ability to eat cheesecake in unlimited amounts and not get fat . i'd also like those hats .",,,,,,,,,
25930,how about 1 ball 1 hat .,,,,,,,,,
25931,i'm afriad we are not going to be able to make a deal then,,,,,,,,,
25932,welp if you change your mind you let me know if what you would like to renegotiate for .,,,,,,,,,
25933,i think your lieing through your teeth i'll settle on 2 hats and the book .,,,,,,,,,
25934,what do you want ?,,,,,,,,,
25935,so would i ; i'll take 2 hats and 1 ball,,,,,,,,,
25936,no way ; 2 hats 1 ball or 4 hats,,,,,,,,,
25937,sounds that way .,,,,,,,,,
25938,i have to be above 5 and need 2 hats 1 ball to get there,,,,,,,,,
25939,"i'm not lying , book is 0 hats and ball 2 each - we agree on 2 hats and book for you",,,,,,,,,
25940,id like books,,,,,,,,,
25941,no just books,,,,,,,,,
25942,you don't want any hats ?,,,,,,,,,
25943,you can have the books .,,,,,,,,,
25944,"i'll take ball and a book and you can have the rest , ok ?",,,,,,,,,
25945,"i need the ball , you can have everything else",,,,,,,,,
25946,"well , i cant deal without the ball",,,,,,,,,
25947,click on no deal when it comes up then,,,,,,,,,
25948,i need ball and hats,,,,,,,,,
25949,"hmmmm , tough call , ball worth much to me",,,,,,,,,
25950,"noooooooo deal . breathe deal , breathe . its gone .",,,,,,,,,
25951,you can have book and one hat,,,,,,,,,
25952,fine,,,,,,,,,
25953,i want the book and ball,,,,,,,,,
25954,two hats and the book,,,,,,,,,
25955,ok,,,,,,,,,
25956,i would like 1 hat and 1 ball,,,,,,,,,
25957,thanks,,,,,,,,,
25958,"i also need the hat , and 2 books",,,,,,,,,
25959,"you can have the ball , i will take the hat and 2 books ?",,,,,,,,,
25960,i would be happy with just the hat,,,,,,,,,
25961,how about i take the ball and two books then,,,,,,,,,
25962,i'd like 1 of each,,,,,,,,,
25963,ok,,,,,,,,,
25964,i'd like to keep 2 balls . you can keep the rest ?,,,,,,,,,
25965,could i have the book and one of the balls and one of the hats,,,,,,,,,
25966,i can do that,,,,,,,,,
25967,"no that is bad deal for me , i can give you the book , but i need both balls and one hat",,,,,,,,,
25968,sorry i cant accept that . i would need at least the ball and the books,,,,,,,,,
25969,the only way i can get let go of the ball is if i get everything else,,,,,,,,,
25970,"ok , no deal then",,,,,,,,,
25971,no deal,,,,,,,,,
25972,no deal,,,,,,,,,
25973,you take the books and i will take the hats and the ball,,,,,,,,,
25974,i can't give up the ball,,,,,,,,,
25975,"i can't do that , no deal",,,,,,,,,
25976,no deal,,,,,,,,,
25977,no deal,,,,,,,,,
25978,how about you take all 3 balls and i'll take the rest ?,,,,,,,,,
25979,i need at least a hat and a book,,,,,,,,,
25980,i do as well,,,,,,,,,
25981,balls have 0 value for me,,,,,,,,,
25982,ok,,,,,,,,,
25983,i'll trade 1 ball for 1 hat,,,,,,,,,
25984,no deal,,,,,,,,,
25985,i need a hat,,,,,,,,,
25986,how about a hat for two books,,,,,,,,,
25987,how about i give you a book for two balls,,,,,,,,,
25988,you can have all 3 hats if i can just have the ball and book,,,,,,,,,
25989,deal,,,,,,,,,
25990,the hats are worthless to me i need the ball and books,,,,,,,,,
25991,i can give you the ball if you give me two books and two hats,,,,,,,,,
25992,i need the ball and the books and you can have the hats,,,,,,,,,
25993,i have to have the ball or we can't make a deal,,,,,,,,,
25994,okay,,,,,,,,,
25995,ok,,,,,,,,,
25996,"i want the book and the hat , you can have the balls .",,,,,,,,,
25997,deal !,,,,,,,,,
25998,deal .,,,,,,,,,
25999,"i'd like the books , the rest to you",,,,,,,,,
26000,"i'll give you both hats and two basketballs , but i'd like the rest .",,,,,,,,,
26001,"hello , friend ! i have an interest in the hats and basketballs .",,,,,,,,,
26002,i think that's a fair deal .,,,,,,,,,
26003,i would like 1 of each item,,,,,,,,,
26004,i will take book and 2 hats,,,,,,,,,
26005,gibe me ball and book,,,,,,,,,
26006,i would like 1 of each item,,,,,,,,,
26007,i need the book but i would be happy to give you the hats and 1 ball,,,,,,,,,
26008,i will give you all the balls then but the hat is what i need the most as well,,,,,,,,,
26009,sorry i mistyped . it is the book that i need the most . so you can have the balls and i will take the hats and the book,,,,,,,,,
26010,"that doesn't work for me . if i get the book and a ball , you can have the hats and a ball",,,,,,,,,
26011,"the hats are worthless to me , and too many points are in the book",,,,,,,,,
26012,"for expedience , i can do that",,,,,,,,,
26013,"yeah , that's what i assumed",,,,,,,,,
26014,you can take all the books,,,,,,,,,
26015,i need the ball but you can have the rest,,,,,,,,,
26016,no deal,,,,,,,,,
26017,no deal,,,,,,,,,
26018,no deal,,,,,,,,,
26019,"thanks , but id rather have the ball and hat",,,,,,,,,
26020,"sorry , i cant do that .",,,,,,,,,
26021,ok no deal,,,,,,,,,
26022,no deal,,,,,,,,,
26023,no deal,,,,,,,,,
26024,all i need is the the ball .,,,,,,,,,
26025,if i can have the hats and the books you can have the balls,,,,,,,,,
26026,i can not give up a hat . you can have one book,,,,,,,,,
26027,thank you . deal !,,,,,,,,,
26028,i'd love all the balls but i need 1 hat too please .,,,,,,,,,
26029,okay .,,,,,,,,,
26030,i need the balls . if i can have the balls you can have everything else,,,,,,,,,
26031,i can't make that deal . i need either two balls and one book or all the balls,,,,,,,,,
26032,okay great ! thank you !,,,,,,,,,
26033,i'd like the balls and one hat .,,,,,,,,,
26034,i'll take the hats and book with one ball .,,,,,,,,,
26035,you can have two balls and the book . i'll take the hats and one ball .,,,,,,,,,
26036,thank you ! agreed !,,,,,,,,,
26037,i really like that book,,,,,,,,,
26038,"keep the book , i just want the 4 balls",,,,,,,,,
26039,yes,,,,,,,,,
26040,i need the book and 2 hats,,,,,,,,,
26041,"i really cant give up the book , but i will if i get the 2 hats and 2 balls",,,,,,,,,
26042,"ok , can i have the hats as well ?",,,,,,,,,
26043,thanks,,,,,,,,,
26044,i would like the book two hats and one ball,,,,,,,,,
26045,ok all the hats to you and i will take the rest,,,,,,,,,
26046,i want the hats,,,,,,,,,
26047,i would like the book and both hats,,,,,,,,,
26048,ok,,,,,,,,,
26049,"sorry , i thought you meant hat",,,,,,,,,
26050,one hat one book,,,,,,,,,
26051,both hats ?,,,,,,,,,
26052,no deal,,,,,,,,,
26053,book and one ball for you,,,,,,,,,
26054,ok,,,,,,,,,
26055,so what do we do,,,,,,,,,
26056,no deal,,,,,,,,,
26057,i need two hats,,,,,,,,,
26058,i just want the book,,,,,,,,,
26059,"no , sorry the book is the only thing of value to me",,,,,,,,,
26060,"yep , thanks",,,,,,,,,
26061,"i sort of want the book , is there any other deal you could make without the book ?",,,,,,,,,
26062,"ok , it's all yours . so i get everything else ?",,,,,,,,,
26063,you can have the hat if i can have the books and 2 balls,,,,,,,,,
26064,what about the third ball,,,,,,,,,
26065,that ; s gonna put me in the negative . i'd like 2 balls and the books,,,,,,,,,
26066,deal,,,,,,,,,
26067,i'd like the hat and the balls,,,,,,,,,
26068,you can have 1 ball and the books . i'd like the hat and one ball .,,,,,,,,,
26069,i'd like two balls and the hat,,,,,,,,,
26070,ok,,,,,,,,,
26071,i want the hat and two books,,,,,,,,,
26072,ok,,,,,,,,,
26073,i ll give you the hat and the ball i want the books,,,,,,,,,
26074,can i have the book and the balls and one hat ?,,,,,,,,,
26075,deal,,,,,,,,,
26076,deal,,,,,,,,,
26077,"all books to me , you have all the rest",,,,,,,,,
26078,you take the books and i will keep the hat and the balls,,,,,,,,,
26079,alright sounds good .,,,,,,,,,
26080,hi i would like the balls and books and you can have the hats,,,,,,,,,
26081,i can offer the hats and 1 book ?,,,,,,,,,
26082,i need the hats and one other item,,,,,,,,,
26083,great,,,,,,,,,
26084,i'd like the book and the hat and a ball .,,,,,,,,,
26085,you can have the 4 balls if i can have the book and the hat,,,,,,,,,
26086,hmm . let me try four balls .,,,,,,,,,
26087,kk ! deal,,,,,,,,,
26088,"no deal , i want 4 books and 2 balls .",,,,,,,,,
26089,"no deal , thats low for me",,,,,,,,,
26090,"no , leaves me with 4 that way",,,,,,,,,
26091,no deal,,,,,,,,,
26092,"no deal , keep talking",,,,,,,,,
26093,you can have all the books if i can have the hat and balls .,,,,,,,,,
26094,no deal . you can have all the books if i can have 1 ball and the hat .,,,,,,,,,
26095,"fine , you can have all the books and the hat if i can have both the balls .",,,,,,,,,
26096,no deal then .,,,,,,,,,
26097,okay .,,,,,,,,,
26098,deal .,,,,,,,,,
26099,if i can have the hat you can have everything else,,,,,,,,,
26100,great ! thank you !,,,,,,,,,
26101,"funny , i was going to say the same thing for myself .",,,,,,,,,
26102,"how about i take the hat , a book , and two balls ?",,,,,,,,,
26103,as long as i can get the hat too .,,,,,,,,,
26104,ok so i can have the hat and the books ?,,,,,,,,,
26105,ok,,,,,,,,,
26106,"i would like two balls , one hat , and two books",,,,,,,,,
26107,"well , we need to reach a settlement , so how can i finagle you into a fair deal ?",,,,,,,,,
26108,"i definitely cant give you two balls , how about two books , one ball ?",,,,,,,,,
26109,"if i give you the hat , i need all 3 bals",,,,,,,,,
26110,"if i get all three balls , yes",,,,,,,,,
26111,nope,,,,,,,,,
26112,yeah we keep talking,,,,,,,,,
26113,no deal,,,,,,,,,
26114,no deal,,,,,,,,,
26115,no deal,,,,,,,,,
26116,if i can have the hats you can have the rest,,,,,,,,,
26117,okay then no deal . .,,,,,,,,,
26118,okay no deal .,,,,,,,,,
26119,no deal .,,,,,,,,,
26120,no deal,,,,,,,,,
26121,"i can give you the two books , and 1 hat while i take 2 hats and 1 ball in return",,,,,,,,,
26122,could i have the hats and one book ?,,,,,,,,,
26123,deal,,,,,,,,,
26124,"you take hat and two books , i'll take the rest .",,,,,,,,,
26125,i'd like hat and 2 balls or 2 books .,,,,,,,,,
26126,i'd like hats . you can have rest .,,,,,,,,,
26127,o,,,,,,,,,
26128,well i can live with that .,,,,,,,,,
26129,book and 3 hats for me,,,,,,,,,
26130,everything else to me and the book to you,,,,,,,,,
26131,i'll take the book and 2 balls .,,,,,,,,,
26132,you can have all the hats and 2 balls if i have the book .,,,,,,,,,
26133,sounds good .,,,,,,,,,
26134,"hi , i need the book and 2 balls",,,,,,,,,
26135,"can`t let the book , the book is the only thing with points",,,,,,,,,
26136,"ok then let me have 2 hats and 2 balls , you can have the book . this is just split half",,,,,,,,,
26137,i need book and 1 hat,,,,,,,,,
26138,i cant either id be left with almost nothing,,,,,,,,,
26139,ok deal,,,,,,,,,
26140,i want the hat and ball,,,,,,,,,
26141,ok,,,,,,,,,
26142,i can not make that deal . if we can split the difference i will take the hat and two books and you can have the ball and one book,,,,,,,,,
26143,okay deal . thank you !,,,,,,,,,
26144,i want the hat and ball,,,,,,,,,
26145,i can give you the hat if i get the rest,,,,,,,,,
26146,"1 hat or the rest are the same amount of points for me , and its low",,,,,,,,,
26147,well if were evenly split it probably is a stalemate on who gets less,,,,,,,,,
26148,ok,,,,,,,,,
26149,"hi , i'd like 1 hat and 2 books .",,,,,,,,,
26150,"no , i really need the hat .",,,,,,,,,
26151,"no , i really need the hat and 2 books to have decent points",,,,,,,,,
26152,same here . no deal .,,,,,,,,,
26153,true . we can agree on the no deal then .,,,,,,,,,
26154,you can have the hats if i can have everything else,,,,,,,,,
26155,i'm not quite sure what you are saying . what would you like ?,,,,,,,,,
26156,i'm going to take the books and the ball then ?,,,,,,,,,
26157,deal,,,,,,,,,
26158,i want all hats at th value of 3,,,,,,,,,
26159,th hats value 2 hats 6 books value is zero and ball is four how many will youtak,,,,,,,,,
26160,wouldlike hats and your valu number,,,,,,,,,
26161,ok,,,,,,,,,
26162,ok,,,,,,,,,
26163,give me hat and ball,,,,,,,,,
26164,need hat or deal can't happen,,,,,,,,,
26165,would you trade the hat for a book ?,,,,,,,,,
26166,"ok , i agree to your initial offer then .",,,,,,,,,
26167,i would like the book and the balls you can have all of the hats,,,,,,,,,
26168,i need the book and both balls,,,,,,,,,
26169,"deal , thanks",,,,,,,,,
26170,you can have the book if i get the rest,,,,,,,,,
26171,how you get about book and 1 ball,,,,,,,,,
26172,ill keep the hat you take everything else,,,,,,,,,
26173,great,,,,,,,,,
26174,if i can have the book and the ball and one book i will give you the other three books,,,,,,,,,
26175,i will give you all of the hats if i can have the book and the hat,,,,,,,,,
26176,okay perfect ! i apologize for my last message . i messed up the hats . so you get all of the hats and i get the book and the ball .,,,,,,,,,
26177,i want the at least three hats and the book,,,,,,,,,
26178,ok you can have the book and ball if i can have the hats,,,,,,,,,
26179,"i'll take books and ball , you can have the hats",,,,,,,,,
26180,so do i . . . i can not make the math work without the ball,,,,,,,,,
26181,hats have no value to me,,,,,,,,,
26182,guess we have no deal then,,,,,,,,,
26183,"i have to have have the ball and books , nothing else works",,,,,,,,,
26184,"i play hoops , i need the ball",,,,,,,,,
26185,"i get the ball you get everything else , you get 6 items i get 1",,,,,,,,,
26186,i really have to have the ball,,,,,,,,,
26187,are you sure ?,,,,,,,,,
26188,could i have the book and one ball thank you kindly ?,,,,,,,,,
26189,you can you just won't so how about a little more insight on what we need for an agreement .,,,,,,,,,
26190,book is worth 6 to me the hats are worth 0 . i have to have the book for this to remotely work .,,,,,,,,,
26191,and that will occur when,,,,,,,,,
26192,how soon,,,,,,,,,
26193,i cant,,,,,,,,,
26194,ok i need a book and two hats and you keep the rest,,,,,,,,,
26195,lets talk until the no deal sign copmes,,,,,,,,,
26196,soon,,,,,,,,,
26197,next,,,,,,,,,
26198,i just want the ball and 2 books,,,,,,,,,
26199,ok deal,,,,,,,,,
26200,how about 1 ball and the book ?,,,,,,,,,
26201,i need the book and the hat . you can take the balls .,,,,,,,,,
26202,okay i'll take two balls and a book,,,,,,,,,
26203,book yes but only one hat for you,,,,,,,,,
26204,i need two balls,,,,,,,,,
26205,ok,,,,,,,,,
26206,i would like 2 balls and the book,,,,,,,,,
26207,"i dont want a hat , i want the 2 balls",,,,,,,,,
26208,you can have one ball and 2 hats,,,,,,,,,
26209,hi i would like the books and ball and you can have the hats,,,,,,,,,
26210,me too,,,,,,,,,
26211,looks like it,,,,,,,,,
26212,just waiting for the button,,,,,,,,,
26213,yep,,,,,,,,,
26214,i need books,,,,,,,,,
26215,are we at no deal territory,,,,,,,,,
26216,ok,,,,,,,,,
26217,same,,,,,,,,,
26218,ok,,,,,,,,,
26219,you can have both of the books if i can keep all of the hats and the ball .,,,,,,,,,
26220,"yes , i can do that . so three hats for me and that is all .",,,,,,,,,
26221,you can have all the hats . i keep the rest ?,,,,,,,,,
26222,okay,,,,,,,,,
26223,seriously ? you can have them,,,,,,,,,
26224,gimme the balls brah,,,,,,,,,
26225,i get three books and one ball,,,,,,,,,
26226,ok final answer,,,,,,,,,
26227,"how about the hat and one book for me , the ball and two books for you ?",,,,,,,,,
26228,i can do that,,,,,,,,,
26229,what would you like,,,,,,,,,
26230,: - ) yeah that's exactly what i need for my friend with skin cancer who is in the hospital,,,,,,,,,
26231,i can take a hit and just give them the hat to protect their face . they can dribble in their wheelchair : - ) deal,,,,,,,,,
26232,oh no ; i want the book and the hat - but my past experience tells me you're going to give me a hard time . : ),,,,,,,,,
26233,do they need to read or can we satisfy them with two awesome basketballs to play with instead ?,,,,,,,,,
26234,exercise is always good when recovering . so i'll take the book and 2 balls ; you'll take the hat and 2 balls ?,,,,,,,,,
26235,"ok , i'll take hat and ball",,,,,,,,,
26236,give me all books,,,,,,,,,
26237,ok,,,,,,,,,
26238,you get hat i get the rest,,,,,,,,,
26239,deal,,,,,,,,,
26240,"no , i would like the hat plus 1 book please .",,,,,,,,,
26241,i'll take the balls you can have the rest,,,,,,,,,
26242,thanks !,,,,,,,,,
26243,yess,,,,,,,,,
26244,book and hats,,,,,,,,,
26245,ok deal,,,,,,,,,
26246,"hello , is there anything you want in particular ?",,,,,,,,,
26247,okay 1 book 2 hats for you and 4 balls for me .,,,,,,,,,
26248,i will give you 2 hats,,,,,,,,,
26249,great,,,,,,,,,
26250,take 1 book if youd like,,,,,,,,,
26251,"i have no clue what i'm doing , trying to figure it out .",,,,,,,,,
26252,i just want one basketball,,,,,,,,,
26253,ok,,,,,,,,,
26254,i'll take the books and two balls please .,,,,,,,,,
26255,sure i get all the books and 1 ball . deal,,,,,,,,,
26256,my ideal deal would get me the balls and the hat . the hat is pretty big for me . how about you ?,,,,,,,,,
26257,could we split the balls then ? and you take the books ?,,,,,,,,,
26258,and the hats ?,,,,,,,,,
26259,i get 1 hat 3 balls ?,,,,,,,,,
26260,ok,,,,,,,,,
26261,i'll give you three balls for one book,,,,,,,,,
26262,i'll give you one hat,,,,,,,,,
26263,yes,,,,,,,,,
26264,can i have the hat and the book you can have the balls,,,,,,,,,
26265,naw you can have the balls i want the book and hat,,,,,,,,,
26266,you take the balls ill take the book and the hat,,,,,,,,,
26267,then you can have the balls,,,,,,,,,
26268,i have no desire for the balls i want the hat and the book it sounds like a great deal you get 4 i get 2,,,,,,,,,
26269,no . deal last offer you take the balls i get the hat and the book .,,,,,,,,,
26270,"no , i need the book , all else to you",,,,,,,,,
26271,i'll take book and two balls,,,,,,,,,
26272,i need the hat and the balls,,,,,,,,,
26273,ok that's not fair . one hat and two balls,,,,,,,,,
26274,"yeah , okay , i'll take the book , rest to you",,,,,,,,,
26275,no deal,,,,,,,,,
26276,ok,,,,,,,,,
26277,i need the book and balls . you can have the hats .,,,,,,,,,
26278,how about one hat and the book ?,,,,,,,,,
26279,hi i would like the book and hats and you can have the balls,,,,,,,,,
26280,deal,,,,,,,,,
26281,if i can have the ball and three hats i can make that deal,,,,,,,,,
26282,i can offer the ball and 2 hats,,,,,,,,,
26283,if i can have the hats and one ball you can have the rest,,,,,,,,,
26284,okay deal .,,,,,,,,,
26285,balls and books for me,,,,,,,,,
26286,how about you take one book,,,,,,,,,
26287,okay you can have both books,,,,,,,,,
26288,if i can have the books you can have everything else,,,,,,,,,
26289,i need both or no deal,,,,,,,,,
26290,okay thank you .,,,,,,,,,
26291,gimme the ball,,,,,,,,,
26292,you take the books and the hat . i will take the balls .,,,,,,,,,
26293,i have to have at least one ball and the hat .,,,,,,,,,
26294,no way . no deal . i need one of the balls and the hat .,,,,,,,,,
26295,no deal then .,,,,,,,,,
26296,no deal,,,,,,,,,
26297,you take the books and the hat and i take the balls,,,,,,,,,
26298,i have to have the balls or no deal,,,,,,,,,
26299,"nope , i have to have both balls , i don't care about anything else",,,,,,,,,
26300,i absolutely can not make a deal without both balls,,,,,,,,,
26301,no deal,,,,,,,,,
26302,i would like one book two balls and the hat,,,,,,,,,
26303,ok deal,,,,,,,,,
26304,that would leave me with 1 / 10 . i need 2 book and 1 ball,,,,,,,,,
26305,you take the books and the ball i keep the hats,,,,,,,,,
26306,deal,,,,,,,,,
26307,what would you like,,,,,,,,,
26308,i don't want any of the hats . i'll take the books and you can have the rest,,,,,,,,,
26309,if i can have the ball and the books you can have all of the hats,,,,,,,,,
26310,okay that works ! thank you !,,,,,,,,,
26311,you can have all the books and the hat if i can have the ball,,,,,,,,,
26312,could i have the ball and two books ?,,,,,,,,,
26313,sure,,,,,,,,,
26314,i need ball and hat,,,,,,,,,
26315,"you take ball , i get rest",,,,,,,,,
26316,okay books for you i get rest,,,,,,,,,
26317,i want 1 ball and 2 books,,,,,,,,,
26318,i need the ball absolutely can do 1 book,,,,,,,,,
26319,most i can do is i get all books,,,,,,,,,
26320,i only want book . you can have the rest .,,,,,,,,,
26321,i want one of each .,,,,,,,,,
26322,deal .,,,,,,,,,
26323,give me books and hat,,,,,,,,,
26324,deal,,,,,,,,,
26325,i need the ball you can have the rest,,,,,,,,,
26326,great,,,,,,,,,
26327,deal,,,,,,,,,
26328,"i need ball , you get rest",,,,,,,,,
26329,hmmm looks like a no deal,,,,,,,,,
26330,"agreed , how much ball worth ?",,,,,,,,,
26331,same,,,,,,,,,
26332,whens the no deal button reveal itself ?,,,,,,,,,
26333,"i would like the ball and hats , you can have all the books",,,,,,,,,
26334,"i need the ball too , it's the highest value one for me",,,,,,,,,
26335,i feel like that's the only thing we're going to agree on,,,,,,,,,
26336,"6 points for me , you ?",,,,,,,,,
26337,now that's just evil,,,,,,,,,
26338,it just did for me,,,,,,,,,
26339,i could use some books . you can have the hats .,,,,,,,,,
26340,ok you can have the hats and the ball . are we not supposed to agree the first time ?,,,,,,,,,
26341,ok . thank you .,,,,,,,,,
26342,you can have the books if i can have the hats and the ball,,,,,,,,,
26343,we just have to agree at some point . that deal works for me as well . thank you .,,,,,,,,,
26344,"okay , i like that deal",,,,,,,,,
26345,"yes , you get everything else but the balls",,,,,,,,,
26346,i would like the books and the hat and ill give you all the balls .,,,,,,,,,
26347,ok so i get all the books and the hat and you get all the balls .,,,,,,,,,
26348,i would like the book and the hats please .,,,,,,,,,
26349,can you make that either 1 more hat or 1 more ball ?,,,,,,,,,
26350,"ok , deal .",,,,,,,,,
26351,"i will give you 1 hat , 1 ball , and the book",,,,,,,,,
26352,no,,,,,,,,,
26353,hello i need to books and some balls - what about you,,,,,,,,,
26354,that can work for me .,,,,,,,,,
26355,ok you can have the books and two balls,,,,,,,,,
26356,"hey there , i'd like the 2 hats and the book ; you keep all 3 balls ?",,,,,,,,,
26357,"i'd allow you to keep the book , please give me 1 ball , and two hats .",,,,,,,,,
26358,"i need the book , a ball and a hat",,,,,,,,,
26359,ok,,,,,,,,,
26360,ok,,,,,,,,,
26361,i'd like the book and ball please .,,,,,,,,,
26362,give me both balls thats all,,,,,,,,,
26363,okay,,,,,,,,,
26364,i want the hats two,,,,,,,,,
26365,i want two hats a ball and a book,,,,,,,,,
26366,lol two hats,,,,,,,,,
26367,cool,,,,,,,,,
26368,you can have the books .,,,,,,,,,
26369,how about you get one hat one book ?,,,,,,,,,
26370,you know that's impossible .,,,,,,,,,
26371,"ok , two hats for you . i take the rest .",,,,,,,,,
26372,i need the books and ball,,,,,,,,,
26373,i can go ball and two books,,,,,,,,,
26374,guess we cant deal then,,,,,,,,,
26375,no deal,,,,,,,,,
26376,no deal,,,,,,,,,
26377,ball and three hats for me,,,,,,,,,
26378,ball to you everything else to me,,,,,,,,,
26379,ok no deal,,,,,,,,,
26380,no deal,,,,,,,,,
26381,no deal,,,,,,,,,
26382,can i have the hat and balls ?,,,,,,,,,
26383,"alright , the balls and one book ?",,,,,,,,,
26384,i would like the hat and the books .,,,,,,,,,
26385,i really need the hat .,,,,,,,,,
26386,"ok , that's fine .",,,,,,,,,
26387,"no , i would accept 1 hat 1 ball",,,,,,,,,
26388,"don't want books , want hat and ball",,,,,,,,,
26389,i'll take hat,,,,,,,,,
26390,deal,,,,,,,,,
26391,would you accept one book ?,,,,,,,,,
26392,how about i offer you three books,,,,,,,,,
26393,i can offer you either the hat or the ball only,,,,,,,,,
26394,okay ill take everything else,,,,,,,,,
26395,i'd like a hate and a book .,,,,,,,,,
26396,deal,,,,,,,,,
26397,"give me the hat only , you keep everything else .",,,,,,,,,
26398,"sorry , how about i take one book and one hat",,,,,,,,,
26399,you take all hats and i keep the rest,,,,,,,,,
26400,deal,,,,,,,,,
26401,what i get the rest,,,,,,,,,
26402,thanks make sure you take the right things,,,,,,,,,
26403,i need the ball and 1 hat ?,,,,,,,,,
26404,yes i will take the ball and 1 hat you get the rest,,,,,,,,,
26405,i need the book and 2 hats,,,,,,,,,
26406,ok how about i get the book and the ball ?,,,,,,,,,
26407,deal,,,,,,,,,
26408,"sorry , i need all of the hats",,,,,,,,,
26409,eal,,,,,,,,,
26410,"i can't do that i need either all the balls , or one of each object",,,,,,,,,
26411,i have to have 3 items or i can't make a deal,,,,,,,,,
26412,you get the book and 2 hats,,,,,,,,,
26413,yea,,,,,,,,,
26414,deal,,,,,,,,,
26415,i get the book and two hats and you get the rest ?,,,,,,,,,
26416,i need the book and three hats,,,,,,,,,
26417,thank you !,,,,,,,,,
