g,dialog,selection,reward,outcome
1 8 2 1 3 0 ,"[""YOU: i'll give you three balls for one book "", ' THEM: and the hats ? ', "" YOU: i'll give you one hat "", ' THEM: i get 1 hat 3 balls ? ', ' YOU: yes ', ' THEM: ok ']", item0=1 item1=0 item2=0 ,8 disagree, 1 0 2 2 3 2
1 5 1 5 4 0 ,"['YOU: can i have the hat and the book you can have the balls ', ' THEM: no , i need the book , all else to you ', ' YOU: naw you can have the balls i want the book and hat ', "" THEM: i'll take book and two balls "", ' YOU: you take the balls ill take the book and the hat ', ' THEM: i need the hat and the balls ', ' YOU: then you can have the balls ', "" THEM: ok that's not fair . one hat and two balls "", ' YOU: i have no desire for the balls i want the hat and the book it sounds like a great deal you get 4 i get 2 ', "" THEM: yeah , okay , i'll take the book , rest to you "", ' YOU: no . deal last offer you take the balls i get the hat and the book . ', ' THEM: no deal ']", no agreement ,no agreement agree, 1 4 1 2 4 1
1 4 1 2 4 1 ,"['THEM: can i have the hat and the book you can have the balls ', ' YOU: no , i need the book , all else to you ', ' THEM: naw you can have the balls i want the book and hat ', "" YOU: i'll take book and two balls "", ' THEM: you take the balls ill take the book and the hat ', ' YOU: i need the hat and the balls ', ' THEM: then you can have the balls ', "" YOU: ok that's not fair . one hat and two balls "", ' THEM: i have no desire for the balls i want the hat and the book it sounds like a great deal you get 4 i get 2 ', "" YOU: yeah , okay , i'll take the book , rest to you "", ' THEM: no . deal last offer you take the balls i get the hat and the book . ', ' YOU: no deal ']", no agreement ,no agreement agree, 1 5 1 5 4 0
1 0 2 4 2 1 ,"['THEM: i need the book and balls . you can have the hats . ', ' YOU: ok ']", item0=0 item1=2 item2=0 ,8 agree, 1 8 2 0 2 1
1 8 2 0 2 1 ,"['YOU: i need the book and balls . you can have the hats . ', ' THEM: ok ']", item0=1 item1=0 item2=2 ,10 agree, 1 0 2 4 2 1
1 0 2 1 4 2 ,"['THEM: hi i would like the book and hats and you can have the balls ', ' YOU: how about one hat and the book ? ', ' THEM: deal ']", item0=0 item1=1 item2=4 ,9 agree, 1 8 2 1 4 0
1 8 2 1 4 0 ,"['YOU: hi i would like the book and hats and you can have the balls ', ' THEM: how about one hat and the book ? ', ' YOU: deal ']", item0=1 item1=1 item2=0 ,9 agree, 1 0 2 1 4 2
1 2 3 1 1 5 ,"['THEM: i can offer the ball and 2 hats ', ' YOU: if i can have the ball and three hats i can make that deal ']", item0=0 item1=3 item2=1 ,8 agree ,1 10 3 0 1 0
1 10 3 0 1 0,"[' YOU: i can offer the ball and 2 hats ', ' THEM: if i can have the ball and three hats i can make that deal ']", item0=1 item1=0 item2=0 ,10 agree, 1 2 3 1 1 5
2 0 2 5 3 0 ,"['YOU: if i can have the hats and one ball you can have the rest ', ' THEM: balls and books for me ', ' YOU: okay deal . ']", item0=0 item1=2 item2=0 ,10 agree, 2 1 2 1 3 2
2 1 2 1 3 2 ,"['THEM: if i can have the hats and one ball you can have the rest ', ' YOU: balls and books for me ', ' THEM: okay deal . ']", item0=2 item1=0 item2=3 ,8 agree, 2 0 2 5 3 0
2 1 1 2 3 2 ,"['THEM: if i can have the books you can have everything else ', ' YOU: how about you take one book ', ' THEM: i need both or no deal ', ' YOU: okay you can have both books ', ' THEM: okay thank you . ']", item0=0 item1=1 item2=3 ,8 agree, 2 5 1 0 3 0
2 5 1 0 3 0 ,"['YOU: if i can have the books you can have everything else ', ' THEM: how about you take one book ', ' YOU: i need both or no deal ', ' THEM: okay you can have both books ', ' YOU: okay thank you . ']", item0=2 item1=0 item2=0 ,10 agree, 2 1 1 2 3 2
2 0 2 1 1 8 ,['YOU: gimme the ball '], item0=2 item1=2 item2=1 ,10 disagree, 2 2 2 2 1 2
2 1 1 2 2 3 ,"['THEM: you take the books and the hat and i take the balls ', ' YOU: you take the books and the hat . i will take the balls . ', ' THEM: i have to have the balls or no deal ', ' YOU: i have to have at least one ball and the hat . ', "" THEM: nope , i have to have both balls , i don't care about anything else "", ' YOU: no way . no deal . i need one of the balls and the hat . ', ' THEM: i absolutely can not make a deal without both balls ', ' YOU: no deal then . ', ' THEM: no deal ', ' YOU: no deal ']", no agreement ,no agreement agree, 2 0 1 0 2 5
2 0 1 0 2 5 ,"['YOU: you take the books and the hat and i take the balls ', ' THEM: you take the books and the hat . i will take the balls . ', ' YOU: i have to have the balls or no deal ', ' THEM: i have to have at least one ball and the hat . ', "" YOU: nope , i have to have both balls , i don't care about anything else "", ' THEM: no way . no deal . i need one of the balls and the hat . ', ' YOU: i absolutely can not make a deal without both balls ', ' THEM: no deal then . ', ' YOU: no deal ', ' THEM: no deal ']", no agreement ,no agreement agree, 2 1 1 2 2 3
2 0 1 2 2 4 ,"['YOU: i would like one book two balls and the hat ', ' THEM: that would leave me with 1 / 10 . i need 2 book and 1 ball ', ' YOU: ok deal ']", item0=0 item1=1 item2=1 ,6 agree, 2 3 1 0 2 2
2 3 1 0 2 2 ,"['THEM: i would like one book two balls and the hat ', ' YOU: that would leave me with 1 / 10 . i need 2 book and 1 ball ', ' THEM: ok deal ']", item0=2 item1=0 item2=1 ,8 agree, 2 0 1 2 2 4
2 0 2 5 1 0 ,"['YOU: you take the books and the ball i keep the hats ', ' THEM: deal ']", item0=0 item1=2 item2=0 ,10 agree, 2 1 2 3 1 2
2 1 2 3 1 2 ,"['THEM: you take the books and the ball i keep the hats ', ' YOU: deal ']", item0=2 item1=0 item2=1 ,4 agree, 2 0 2 5 1 0
2 3 3 0 1 4 ,"['YOU: what would you like ', ' THEM: if i can have the ball and the books you can have all of the hats ', "" YOU: i don't want any of the hats . i'll take the books and you can have the rest "", ' THEM: okay that works ! thank you ! ']", item0=2 item1=0 item2=0 ,6 agree, 2 2 3 1 1 3
2 2 3 1 1 3 ,"['THEM: what would you like ', ' YOU: if i can have the ball and the books you can have all of the hats ', "" THEM: i don't want any of the hats . i'll take the books and you can have the rest "", ' YOU: okay that works ! thank you ! ']", item0=0 item1=3 item2=1 ,6 agree, 2 3 3 0 1 4
4 0 1 5 1 5 ,"['THEM: could i have the ball and two books ? ', ' YOU: you can have all the books and the hat if i can have the ball ', ' THEM: sure ']", item0=0 item1=0 item2=1 ,5 agree, 4 1 1 1 1 5
4 1 1 1 1 5 ,"['YOU: could i have the ball and two books ? ', ' THEM: you can have all the books and the hat if i can have the ball ', ' YOU: sure ']", item0=4 item1=1 item2=0 ,5 agree, 4 0 1 5 1 5
3 1 1 2 1 5 ,"['THEM: i want 1 ball and 2 books ', ' YOU: i need ball and hat ', ' THEM: i need the ball absolutely can do 1 book ', ' YOU: you take ball , i get rest ', ' THEM: most i can do is i get all books ', ' YOU: okay books for you i get rest ']", item0=0 item1=1 item2=1 ,7 agree, 3 2 1 0 1 4
3 2 1 0 1 4 ,"['YOU: i want 1 ball and 2 books ', ' THEM: i need ball and hat ', ' YOU: i need the ball absolutely can do 1 book ', ' THEM: you take ball , i get rest ', ' YOU: most i can do is i get all books ', ' THEM: okay books for you i get rest ']", item0=3 item1=0 item2=0 ,6 agree, 3 1 1 2 1 5
1 9 4 0 1 1 ,"['THEM: i want one of each . ', ' YOU: i only want book . you can have the rest . ', ' THEM: deal . ']", item0=1 item1=0 item2=0 ,9 agree, 1 5 4 1 1 1
1 5 4 1 1 1 ,"['YOU: i want one of each . ', ' THEM: i only want book . you can have the rest . ', ' YOU: deal . ']", item0=0 item1=4 item2=1 ,5 agree, 1 9 4 0 1 1
4 2 1 2 2 0 ,"['YOU: give me books and hat ', ' THEM: give me two books and two balls ', ' YOU: deal ']", item0=2 item1=1 item2=2 ,6 disagree, 4 2 1 0 2 1
4 0 1 0 1 10,"[' YOU: i need the ball you can have the rest ', ' THEM: deal ', ' YOU: great ']", item0=0 item1=0 item2=1 ,10 agree, 4 2 1 1 1 1
4 2 1 1 1 1 ,"['THEM: i need the ball you can have the rest ', ' YOU: deal ', ' THEM: great ']", item0=4 item1=1 item2=0 ,9 agree ,4 0 1 0 1 10
2 0 2 1 1 8 ,"['THEM: i would like the ball and hats , you can have all the books ', ' YOU: i need ball , you get rest ', "" THEM: i need the ball too , it's the highest value one for me "", ' YOU: hmmm looks like a no deal ', "" THEM: i feel like that's the only thing we're going to agree on "", ' YOU: agreed , how much ball worth ? ', ' THEM: 6 points for me , you ? ', ' YOU: same ', "" THEM: now that's just evil "", ' YOU: whens the no deal button reveal itself ? ', ' THEM: it just did for me ']", no agreement ,no agreement agree, 2 1 2 1 1 6
2 1 2 1 1 6 ,"['YOU: i would like the ball and hats , you can have all the books ', ' THEM: i need ball , you get rest ', "" YOU: i need the ball too , it's the highest value one for me "", ' THEM: hmmm looks like a no deal ', "" YOU: i feel like that's the only thing we're going to agree on "", ' THEM: agreed , how much ball worth ? ', ' YOU: 6 points for me , you ? ', ' THEM: same ', "" YOU: now that's just evil "", ' THEM: whens the no deal button reveal itself ? ', ' YOU: it just did for me ']", no agreement ,no agreement agree, 2 0 2 1 1 8
2 5 2 0 1 0 ,"['YOU: i could use some books . you can have the hats . ', ' THEM: you can have the books if i can have the hats and the ball ', ' YOU: ok you can have the hats and the ball . are we not supposed to agree the first time ? ', ' THEM: we just have to agree at some point . that deal works for me as well . thank you . ', ' YOU: ok . thank you . ']", item0=2 item1=0 item2=0 ,10 agree, 2 1 2 2 1 4
2 1 2 2 1 4 ,"['THEM: i could use some books . you can have the hats . ', ' YOU: you can have the books if i can have the hats and the ball ', ' THEM: ok you can have the hats and the ball . are we not supposed to agree the first time ? ', ' YOU: we just have to agree at some point . that deal works for me as well . thank you . ', ' THEM: ok . thank you . ']", item0=0 item1=2 item2=1 ,8 agree, 2 5 2 0 1 0
2 0 1 1 3 3 ,"['THEM: i would like the books and the hat and ill give you all the balls . ', ' YOU: okay , i like that deal ', ' THEM: ok so i get all the books and the hat and you get all the balls . ', ' YOU: yes , you get everything else but the balls ']", item0=0 item1=0 item2=3 ,9 agree, 2 4 1 2 3 0
2 4 1 2 3 0 ,"['YOU: i would like the books and the hat and ill give you all the balls . ', ' THEM: okay , i like that deal ', ' YOU: ok so i get all the books and the hat and you get all the balls . ', ' THEM: yes , you get everything else but the balls ']", item0=2 item1=1 item2=0 ,10 agree, 2 0 1 1 3 3
1 6 2 2 3 0 ,"['YOU: i would like the book and the hats please . ', ' THEM: i will give you 1 hat , 1 ball , and the book ', ' YOU: can you make that either 1 more hat or 1 more ball ? ', ' THEM: no ', ' YOU: ok , deal . ']", item0=1 item1=1 item2=1 ,8 agree, 1 1 2 3 3 1
1 1 2 3 3 1 ,"['THEM: i would like the book and the hats please . ', ' YOU: i will give you 1 hat , 1 ball , and the book ', ' THEM: can you make that either 1 more hat or 1 more ball ? ', ' YOU: no ', ' THEM: ok , deal . ']", item0=0 item1=1 item2=2 ,5 agree, 1 6 2 2 3 0
2 3 1 0 4 1 ,"['YOU: hello i need to books and some balls - what about you ', ' THEM: ok you can have the books and two balls ', ' YOU: that can work for me . ']", item0=2 item1=0 item2=2 ,8 agree, 2 0 1 6 4 1
2 0 1 6 4 1 ,"['THEM: hello i need to books and some balls - what about you ', ' YOU: ok you can have the books and two balls ', ' THEM: that can work for me . ']", item0=0 item1=1 item2=2 ,8 agree, 2 3 1 0 4 1
1 1 2 3 3 1 ,"[""YOU: hey there , i'd like the 2 hats and the book ; you keep all 3 balls ? "", ' THEM: i need the book , a ball and a hat ', "" YOU: i'd allow you to keep the book , please give me 1 ball , and two hats . "", ' THEM: ok ']", item0=0 item1=2 item2=1 ,7 disagree, 1 5 2 1 3 1
1 5 2 1 3 1 ,"[""THEM: hey there , i'd like the 2 hats and the book ; you keep all 3 balls ? "", ' YOU: i need the book , a ball and a hat ', "" THEM: i'd allow you to keep the book , please give me 1 ball , and two hats . "", ' YOU: ok ']", item0=0 item1=0 item2=2 ,2 disagree, 1 1 2 3 3 1
1 2 3 2 1 2 ,"[""THEM: i'd like the book and ball please . "", ' YOU: ok ']", item0=0 item1=3 item2=0 ,6 agree, 1 7 3 0 1 3
1 7 3 0 1 3 ,"[""YOU: i'd like the book and ball please . "", ' THEM: ok ']", item0=1 item1=0 item2=1 ,10 agree, 1 2 3 2 1 2
2 1 2 0 2 4 ,"['YOU: give me both balls thats all ', ' THEM: okay ']", item0=0 item1=0 item2=2 ,8 agree, 2 3 2 2 2 0
2 3 2 2 2 0 ,"['THEM: give me both balls thats all ', ' YOU: okay ']", item0=2 item1=2 item2=0 ,10 agree, 2 1 2 0 2 4
2 1 2 3 1 2 ,"['THEM: you can have the books . ', ' YOU: i want the hats two ', ' THEM: how about you get one hat one book ? ', ' YOU: i want two hats a ball and a book ', "" THEM: you know that's impossible . "", ' YOU: lol two hats ', ' THEM: ok , two hats for you . i take the rest . ', ' YOU: cool ']", item0=0 item1=2 item2=0 ,6 agree, 2 1 2 2 1 4
2 1 2 2 1 4 ,"['YOU: you can have the books . ', ' THEM: i want the hats two ', ' YOU: how about you get one hat one book ? ', ' THEM: i want two hats a ball and a book ', "" YOU: you know that's impossible . "", ' THEM: lol two hats ', ' YOU: ok , two hats for you . i take the rest . ', ' THEM: cool ']", item0=2 item1=0 item2=1 ,6 agree, 2 1 2 3 1 2
3 2 3 0 1 4 ,"['YOU: i need the books and ball ', ' THEM: ball and three hats for me ', ' YOU: i can go ball and two books ', ' THEM: ball to you everything else to me ', ' YOU: guess we cant deal then ', ' THEM: ok no deal ', ' YOU: no deal ', ' THEM: no deal ', ' YOU: no deal ', ' THEM: no deal ']", no agreement ,no agreement agree, 3 1 3 1 1 4
3 1 3 1 1 4 ,"['THEM: i need the books and ball ', ' YOU: ball and three hats for me ', ' THEM: i can go ball and two books ', ' YOU: ball to you everything else to me ', ' THEM: guess we cant deal then ', ' YOU: ok no deal ', ' THEM: no deal ', ' YOU: no deal ', ' THEM: no deal ', ' YOU: no deal ']", no agreement ,no agreement agree, 3 2 3 0 1 4
2 0 1 2 4 2 ,"['THEM: i would like the hat and the books . ', ' YOU: can i have the hat and balls ? ', ' THEM: i really need the hat . ', ' YOU: alright , the balls and one book ? ', "" THEM: ok , that's fine . ""]", item0=1 item1=0 item2=4 ,8 agree, 2 1 1 8 4 0
2 1 1 8 4 0 ,"['YOU: i would like the hat and the books . ', ' THEM: can i have the hat and balls ? ', ' YOU: i really need the hat . ', ' THEM: alright , the balls and one book ? ', "" YOU: ok , that's fine . ""]", item0=1 item1=1 item2=0 ,9 agree, 2 0 1 2 4 2
4 0 1 9 1 1 ,"['THEM: would you accept one book ? ', ' YOU: no , i would accept 1 hat 1 ball ', ' THEM: how about i offer you three books ', "" YOU: don't want books , want hat and ball "", ' THEM: i can offer you either the hat or the ball only ', "" YOU: i'll take hat "", ' THEM: okay ill take everything else ', ' YOU: deal ']", item0=0 item1=1 item2=0 ,9 agree, 4 1 1 3 1 3
4 1 1 3 1 3 ,"['YOU: would you accept one book ? ', ' THEM: no , i would accept 1 hat 1 ball ', ' YOU: how about i offer you three books ', "" THEM: don't want books , want hat and ball "", ' YOU: i can offer you either the hat or the ball only ', "" THEM: i'll take hat "", ' YOU: okay ill take everything else ', ' THEM: deal ']", item0=4 item1=0 item2=1 ,7 agree, 4 0 1 9 1 1
2 2 1 3 3 1 ,"[""YOU: i'd like a hate and a book . "", ' THEM: give me the hat only , you keep everything else . ', ' YOU: deal ']", item0=2 item1=0 item2=3 ,7 agree ,2 0 1 10 3 0
2 0 1 10 3 0,"["" THEM: i'd like a hate and a book . "", ' YOU: give me the hat only , you keep everything else . ', ' THEM: deal ']", item0=0 item1=1 item2=0 ,10 agree, 2 2 1 3 3 1
1 8 2 1 4 0 ,"['THEM: you take all hats and i keep the rest ', ' YOU: sorry , how about i take one book and one hat ', ' THEM: deal ']", item0=1 item1=1 item2=0 ,9 agree, 1 2 2 0 4 2
1 2 2 0 4 2 ,"['YOU: you take all hats and i keep the rest ', ' THEM: sorry , how about i take one book and one hat ', ' YOU: deal ']", item0=0 item1=1 item2=4 ,8 agree, 1 8 2 1 4 0
2 2 2 3 1 0 ,"['THEM: i need the ball and 1 hat ? ', ' YOU: what i get the rest ', ' THEM: yes i will take the ball and 1 hat you get the rest ', ' YOU: thanks make sure you take the right things ']", item0=2 item1=1 item2=0 ,7 agree, 2 0 2 1 1 8
2 0 2 1 1 8 ,"['YOU: i need the ball and 1 hat ? ', ' THEM: what i get the rest ', ' YOU: yes i will take the ball and 1 hat you get the rest ', ' THEM: thanks make sure you take the right things ']", item0=0 item1=1 item2=1 ,9 agree, 2 2 2 3 1 0
1 6 3 1 1 1 ,"['YOU: i need the book and 2 hats ', ' THEM: sorry , i need all of the hats ', ' YOU: ok how about i get the book and the ball ? ', ' THEM: eal ', ' YOU: deal ']", item0=1 item1=0 item2=1 ,7 agree, 1 1 3 3 1 0
1 1 3 3 1 0 ,"['THEM: i need the book and 2 hats ', ' YOU: sorry , i need all of the hats ', ' THEM: ok how about i get the book and the ball ? ', ' YOU: eal ', ' THEM: deal ']", item0=0 item1=3 item2=0 ,9 agree, 1 6 3 1 1 1
1 2 1 2 3 2 ,"['THEM: i would like the balls . you get the rest ', "" YOU: i can't do that i need either all the balls , or one of each object "", ' THEM: i need 2 balls and 1 hat ', "" YOU: i have to have 3 items or i can't make a deal "", ' THEM: same here ']", item0=0 item1=0 item2=3 ,6 disagree, 1 0 1 1 3 3
1 0 4 1 2 3 ,"['YOU: you get the book and 2 hats ', ' THEM: i get the book and two hats and you get the rest ? ', ' YOU: yea ', ' THEM: i need the book and three hats ', ' YOU: deal ', ' THEM: thank you ! ']", item0=0 item1=1 item2=2 ,7 agree, 1 6 4 1 2 0
1 6 4 1 2 0 ,"['THEM: you get the book and 2 hats ', ' YOU: i get the book and two hats and you get the rest ? ', ' THEM: yea ', ' YOU: i need the book and three hats ', ' THEM: deal ', ' YOU: thank you ! ']", item0=1 item1=3 item2=0 ,9 agree, 1 0 4 1 2 3
4 1 2 3 1 0 ,"['YOU: hello , can i have 2 hats and 2 books ? ', ' THEM: you can have all the books but i need one if not both hats . ', ' YOU: i will need at least 1 hat too . ']", item0=4 item1=1 item2=0 ,7 agree, 4 0 2 4 1 2
4 0 2 4 1 2 ,"['THEM: hello , can i have 2 hats and 2 books ? ', ' YOU: you can have all the books but i need one if not both hats . ', ' THEM: i will need at least 1 hat too . ']", item0=0 item1=1 item2=1 ,6 agree, 4 1 2 3 1 0
4 1 1 2 1 4 ,"['THEM: i would like the ball , all else to you ', "" YOU: sure , i'm feeling generous "", ' THEM: deal ']", item0=4 item1=1 item2=0 ,6 agree, 4 0 1 4 1 6
4 0 1 4 1 6 ,"['YOU: i would like the ball , all else to you ', "" THEM: sure , i'm feeling generous "", ' YOU: deal ']", item0=0 item1=0 item2=1 ,6 agree, 4 1 1 2 1 4
2 0 2 0 2 5 ,"['YOU: what would you like ', "" THEM: i'd like the books and one hat "", ' YOU: and i get the balls and one hat ? deal ', ' THEM: deal ']", item0=0 item1=1 item2=2 ,10 agree, 2 2 2 2 2 1
2 2 2 2 2 1 ,"['THEM: what would you like ', "" YOU: i'd like the books and one hat "", ' THEM: and i get the balls and one hat ? deal ', ' YOU: deal ']", item0=2 item1=1 item2=0 ,6 agree, 2 0 2 0 2 5
3 1 1 6 1 1 ,"[""THEM: i'd like the hat and 2 books and you can have the basketball and 1 book "", ' YOU: i would be content with the just the hat ', ' THEM: what if i take the hat and you have the rest ? ', ' YOU: okay ']", item0=3 item1=0 item2=1 ,4 agree, 3 1 1 6 1 1
3 1 1 6 1 1 ,"[""YOU: i'd like the hat and 2 books and you can have the basketball and 1 book "", ' THEM: i would be content with the just the hat ', ' YOU: what if i take the hat and you have the rest ? ', ' THEM: okay ']", item0=0 item1=1 item2=0 ,6 agree, 3 1 1 6 1 1
1 6 2 1 2 1 ,"['YOU: i would like the book 1 hat and 1 basketball you can have the rest ', ' THEM: ok ']", item0=1 item1=1 item2=1 ,8 disagree ,1 10 2 0 2 0
1 10 2 0 2 0,"[' THEM: i would like the book 1 hat and 1 basketball you can have the rest ', ' YOU: ok ']", item0=1 item1=1 item2=1 ,10 disagree, 1 6 2 1 2 1
3 0 1 7 1 3 ,"['YOU: ok i ll take the hat and leave you the rest ', ' THEM: ok ', ' YOU: are you sure ']", item0=0 item1=1 item2=0 ,7 agree, 3 1 1 2 1 5
3 1 1 2 1 5 ,"['THEM: ok i ll take the hat and leave you the rest ', ' YOU: ok ', ' THEM: are you sure ']", item0=3 item1=0 item2=1 ,8 agree, 3 0 1 7 1 3
2 2 2 1 2 2 ,"[""THEM: i'll take 2 hats . "", ' YOU: ok ill take the balls and books you get the hats ']", item0=2 item1=0 item2=2 ,8 agree, 2 0 2 5 2 0
2 0 2 5 2 0 ,"[""YOU: i'll take 2 hats . "", ' THEM: ok ill take the balls and books you get the hats ']", item0=0 item1=2 item2=0 ,10 agree, 2 2 2 1 2 2
3 0 2 0 2 5 ,"['YOU: i just want the balls ', ' THEM: ok ', ' YOU: you take the rest ']", item0=0 item1=0 item2=2 ,10 agree, 3 2 2 1 2 1
3 2 2 1 2 1 ,"['THEM: i just want the balls ', ' YOU: ok ', ' THEM: you take the rest ']", item0=3 item1=2 item2=0 ,8 agree, 3 0 2 0 2 5
1 5 3 1 1 2 ,"['THEM: if i can have the hats you can have the ball and book / ', "" YOU: i'll need one hat along with the ball and book "", "" THEM: that only puts me at 4 =\\ the book is only worth 1 and the ball worth nothing to me , . . sure you can't part with all three hats ? "", ' YOU: i guess . okay , you get 3 hats , i get book and ball ']", item0=1 item1=0 item2=1 ,7 agree, 1 1 3 3 1 0
1 1 3 3 1 0 ,"['YOU: if i can have the hats you can have the ball and book / ', "" THEM: i'll need one hat along with the ball and book "", "" YOU: that only puts me at 4 =\\ the book is only worth 1 and the ball worth nothing to me , . . sure you can't part with all three hats ? "", ' THEM: i guess . okay , you get 3 hats , i get book and ball ']", item0=0 item1=3 item2=0 ,9 agree, 1 5 3 1 1 2
1 5 1 5 3 0 ,"['THEM: i would like the book and the balls . ', ' YOU: i can give you all the balls if you want , but i like the hat and book ', "" THEM: any way you'd give up the book for balls ? "", ' YOU: nope ', ' THEM: ok , i agree with your initial offer then . ']", item0=1 item1=1 item2=0 ,10 agree, 1 4 1 0 3 2
1 4 1 0 3 2 ,"['YOU: i would like the book and the balls . ', ' THEM: i can give you all the balls if you want , but i like the hat and book ', "" YOU: any way you'd give up the book for balls ? "", ' THEM: nope ', ' YOU: ok , i agree with your initial offer then . ']", item0=0 item1=0 item2=3 ,6 agree, 1 5 1 5 3 0
3 0 1 4 1 6 ,"[""YOU: i'd only like the ball "", ' THEM: so youll give me the books ? ']", item0=0 item1=0 item2=1 ,6 agree, 3 2 1 3 1 1
3 2 1 3 1 1 ,"[""THEM: i'd only like the ball "", ' YOU: so youll give me the books ? ']", item0=3 item1=1 item2=0 ,9 agree, 3 0 1 4 1 6
3 2 2 1 1 2 ,"['YOU: hi there ', ' THEM: hi i would love the ball ', ' YOU: okay no problem . i will give you that , and the two hats , if you will allow me to have the three books . ', ' THEM: sure ', ' YOU: cool ! ']", item0=3 item1=0 item2=0 ,6 agree, 3 1 2 0 1 7
3 1 2 0 1 7 ,"['THEM: hi there ', ' YOU: hi i would love the ball ', ' THEM: okay no problem . i will give you that , and the two hats , if you will allow me to have the three books . ', ' YOU: sure ', ' THEM: cool ! ']", item0=0 item1=2 item2=1 ,7 agree, 3 2 2 1 1 2
1 5 3 1 2 1 ,"['YOU: i would like the book and all the hats ', ' THEM: i can take the hats and you have the rest or 2 balls and 1 hat . ', ' YOU: you take the hats , and i will take everything else ']", item0=1 item1=0 item2=2 ,7 agree, 1 0 3 2 2 2
1 0 3 2 2 2 ,"['THEM: i would like the book and all the hats ', ' YOU: i can take the hats and you have the rest or 2 balls and 1 hat . ', ' THEM: you take the hats , and i will take everything else ']", item0=0 item1=3 item2=0 ,6 agree, 1 5 3 1 2 1
1 0 4 1 1 6 ,"[""YOU: hey there ! i'd like the ball and maybe 2 hats ? what about you ? "", ' THEM: you take the ball and 1 hat and ill take the rest ', "" YOU: can we split the hats ? i'm assuming our high value items are the ball and the book ? "", ' THEM: ill still be short , i need 3 hats and the book ', ' YOU: oh alright . you have a deal . i get the ball and 1 hat . ', ' THEM: ty deal ']", item0=0 item1=1 item2=1 ,7 agree, 1 6 4 1 1 0
1 6 4 1 1 0 ,"[""THEM: hey there ! i'd like the ball and maybe 2 hats ? what about you ? "", ' YOU: you take the ball and 1 hat and ill take the rest ', "" THEM: can we split the hats ? i'm assuming our high value items are the ball and the book ? "", ' YOU: ill still be short , i need 3 hats and the book ', ' THEM: oh alright . you have a deal . i get the ball and 1 hat . ', ' YOU: ty deal ']", item0=1 item1=3 item2=0 ,9 agree, 1 0 4 1 1 6
2 5 1 0 3 0 ,"['YOU: if i can have the books you can have the rest . ', ' THEM: no deal i can give you 3 balls ', ' YOU: level with you the balls and hat are worth 0 to me . ', ' THEM: practically the same with me so i cant give you the books ', ' YOU: well then we talk about until we can click no deal . ', ' THEM: yes no deal ', ' YOU: let me know if you care to renegotiate this endeavor ', ' THEM: why would i we both have no use for the hats and balls . . . ', ' YOU: well you ""practically"" have no use , i have no use . ', ' THEM: doesnt matter i need them ', "" YOU: you want them , you don't need them . ""]", no agreement ,no agreement agree, 2 3 1 1 3 1
2 3 1 1 3 1 ,"['THEM: if i can have the books you can have the rest . ', ' YOU: no deal i can give you 3 balls ', ' THEM: level with you the balls and hat are worth 0 to me . ', ' YOU: practically the same with me so i cant give you the books ', ' THEM: well then we talk about until we can click no deal . ', ' YOU: yes no deal ', ' THEM: let me know if you care to renegotiate this endeavor ', ' YOU: why would i we both have no use for the hats and balls . . . ', ' THEM: well you ""practically"" have no use , i have no use . ', ' YOU: doesnt matter i need them ', "" THEM: you want them , you don't need them . ""]", no agreement ,no agreement agree, 2 5 1 0 3 0
1 0 1 6 4 1 ,"['THEM: i need the book and hat you can have the balls ', ' YOU: no , i need the hat . you can have the book and 1 ball ', ' THEM: no hat no deal ', ' YOU: fine . no deal ', ' THEM: no deal ', ' YOU: agreed ', ' THEM: no deal ', ' YOU: no deal ', ' THEM: no deal ', ' YOU: nothing ']", no agreement ,no agreement agree, 1 3 1 7 4 0
1 3 1 7 4 0 ,"['YOU: i need the book and hat you can have the balls ', ' THEM: no , i need the hat . you can have the book and 1 ball ', ' YOU: no hat no deal ', ' THEM: fine . no deal ', ' YOU: no deal ', ' THEM: agreed ', ' YOU: no deal ', ' THEM: no deal ', ' YOU: no deal ', ' THEM: nothing ']", no agreement ,no agreement agree, 1 0 1 6 4 1
3 1 1 1 3 2 ,"['THEM: the hat and balls for me ', ' YOU: no deal . ', ' THEM: counteroffer ? ', ' YOU: you can have 2 of the balls and 2 of the books . ', ' THEM: that hat is what i need ', ' YOU: ok , you can have the hat if i can have all the books , 2 balls , and the hat . ']", item0=3 item1=0 item2=2 ,7 agree, 3 0 1 7 3 1
3 0 1 7 3 1 ,"['YOU: the hat and balls for me ', ' THEM: no deal . ', ' YOU: counteroffer ? ', ' THEM: you can have 2 of the balls and 2 of the books . ', ' YOU: that hat is what i need ', ' THEM: ok , you can have the hat if i can have all the books , 2 balls , and the hat . ']", item0=0 item1=1 item2=1 ,8 agree, 3 1 1 1 3 2
2 3 3 1 1 1 ,"[""THEM: i'll give you you one each of book , hat , and ball . "", ' YOU: okay , my pictures have disappered . . . i need two of what is on top : ', ' THEM: ok , you get two of the one of the middle and i get the bottom . ']", item0=2 item1=0 item2=0 ,6 disagree, 2 0 3 3 1 1
2 0 3 3 1 1 ,"[""YOU: i'll give you you one each of book , hat , and ball . "", ' THEM: okay , my pictures have disappered . . . i need two of what is on top : ', ' YOU: ok , you get two of the one of the middle and i get the bottom . ']", item0=0 item1=2 item2=1 ,7 disagree, 2 3 3 1 1 1
