index,sentences,template
22508,deal,_deal 
22523,deal,_deal 
22533,no,_nodeal 
22538,"balls have no value for me , so you should take them all . only the books are valuable .",_need (_books:all _balls:0) _offer (_balls:all) 
22540,ok deal,_deal 
22542,deal,_deal 
22546,ok,_deal 
22561,ok,_deal 
22569,and the three hats .,_misc (_hats:3 ) 
22570,okay,_deal 
22573,book and 2 hats to me,_need (_books:1 _hats:2 ) 
22574,deal .,_deal 
22591,ok deal,_deal 
22592,okay,_deal 
22594,hello,_greeting 
22599,all i am interested in is the basketball,_need (_balls:all) 
22601,hi,_greeting 
22620,great,_deal 
22621,sure,_deal 
22623,no deal,_nodeal 
22638,no,_nodeal 
22642,"ok , deal",_deal 
22654,great,_deal 
22657,deal,_deal 
22662,deal . thank you .,_deal _thanks 
22663,ok,_deal 
22665,deal .,_deal 
22667,all the balls if i get the hat too .,_need (_hats:1 ) _offer (_balls:all) 
22669,deal,_deal 
22674,okay,_deal 
22677,no deal,_nodeal 
22678,no deal,_nodeal 
22679,no deal,_nodeal 
22682,no deal,_nodeal 
22683,no deal,_nodeal 
22684,no deal,_nodeal 
22689,yes,_deal 
22700,ok deal,_deal 
22704,yes,_deal 
22708,"okay , deal .",_deal 
22712,deal .,_deal 
22717,2 balls and 1 book please ?,_need (_books:1 _balls:2) 
22718,1 ball,_misc (_balls:1) 
22720,sounds good,_deal 
22722,sounds good,_deal 
22733,ok,_deal 
22740,sounds good,_deal 
22753,deal,_deal 
22757,deal .,_deal 
22761,deal,_deal 
22763,ok,_deal 
22764,alright that works for me .,_deal 
22768,deal .,_deal 
22772,"balls are no points to me . i assume hats are low points to you as well and the book is mediocre - - - i'll take 1 book , 1 hat you can have the rest ?",_need (_books:1 _hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
22781,deal,_deal 
22783,okay great !,_deal 
22786,okay .,_deal 
22796,agreed,_deal 
22808,no deal,_nodeal 
22810,deal,_deal 
22815,no deal,_nodeal 
22816,deal,_deal 
22823,book and hats for me,_need (_books:1 _hats:all ) 
22824,2 hats and a book for me,_need (_books:1 _hats:2 ) 
22826,deal,_deal 
22828,ok,_deal 
22858,as i previously stated no deal .,_nodeal 
22861,deal,_deal 
22871,ok deal,_deal 
22873,yep,_deal 
22877,deal,_deal 
22893,deal .,_deal 
22914,ok,_deal 
22916,best offer is i give you two balls and a book,_offer (_books:1 _balls:2) 
22918,okay deal : ),_deal 
22921,cool,_deal 
22928,deal,_deal 
22931,book is worth 7 to me,_need (_books:1 ) 
22937,deal,_deal 
22940,sure,_deal 
22942,ok,_deal 
22946,i can't do that,_nodeal 
22952,deal .,_deal 
22955,thank you !,_deal 
22956,deal,_deal 
22957,deal,_deal 
22959,great,_deal 
22964,all the balls to you for a hat and a book ?,_need (_books:1 _hats:1 ) _offer (_balls:all) 
22965,then no deal,_nodeal 
22967,a book,_misc (_books:1 ) 
22971,no deal,_nodeal 
22973,no way,_nodeal 
22977,1 hat and 1 book .,_misc (_books:1 _hats:1 ) 
22979,yes .,_deal 
22982,no deal,_nodeal 
22999,ok,_deal 
23000,balls then hats here,_need (_hats:all _balls:all) 
23004,deal,_deal 
23011,okay deal .,_deal 
23015,thanks,_deal _thanks 
23017,deal .,_deal 
23022,deal .,_deal 
23023,yes .,_deal 
23025,deal .,_deal 
23030,yes,_deal 
23031,deal,_deal 
23043,"books and hat to me , ball to you",_need (_books:all _hats:1 ) _offer (_balls:1) 
23044,ball and books to me,_need (_books:all _balls:1) 
23046,deal,_deal 
23051,deal,_deal 
23053,deal,_deal 
23057,deal,_deal 
23066,"not possible , no deal",_nodeal 
23080,yes,_deal 
23084,yes,_deal 
23088,fine,_deal 
23095,deal,_deal 
23098,great,_deal 
23102,1 hat 1 book,_misc (_books:1 _hats:1 ) 
23103,okay,_deal 
23107,deal .,_deal 
23111,yes,_deal 
23118,1 book and 1 hat,_misc (_books:1 _hats:1 ) 
23120,okay,_deal 
23135,okay deal .,_deal 
23150,i agree .,_deal 
23151,deal,_deal 
23157,okay deal,_deal 
23160,ok,_deal 
23164,and the balls ?,_misc (_balls:all) 
23165,ok,_deal 
23166,ok deal,_deal 
23168,thx,_deal _thanks 
23170,ok,_deal 
23182,nd,_nodeal 
23187,deal .,_deal 
23195,thanks,_deal _thanks 
23198,deal,_deal 
23200,okay great ! thank you !,_deal 
23211,all the hats ?,_misc (_hats:all ) 
23213,"alright , even though its a loss for me , you take the book , and i'll take the rest .",_deal _need (_books:rest _hats:rest _balls:rest) _offer (_books:1 ) 
23223,book has no value to me . need 1 ball,_need (_books:0 _balls:1) 
23225,ok,_deal 
23234,then no deal,_nodeal 
23236,no way,_nodeal 
23243,no,_nodeal 
23260,1 book and 1 hat . final offer,_misc (_books:1 _hats:1 ) 
23262,no deal then,_nodeal 
23265,ok,_deal 
23268,annoyingly reasonable . . . 8 ^) . . . ill agree,_deal 
23275,yes !,_deal 
23277,deal,_deal 
23280,yes,_deal 
23282,deal,_deal 
23291,deal,_deal 
23292,deal,_deal 
23294,deal,_deal 
23296,deal,_deal 
23297,deal .,_deal 
23300,ok deal,_deal 
23305,i can't do that,_nodeal 
23320,deal,_deal 
23323,no deal then,_nodeal 
23324,no deal,_nodeal 
23331,fine,_deal 
23334,2 balls and you can keep the hat,_need (_balls:2) _offer (_hats:1 ) 
23339,no deal,_nodeal 
23340,no deal,_nodeal 
23341,ball has to be mine,_need (_balls:1) 
23344,no deal,_nodeal 
23345,no deal,_nodeal 
23360,deal,_deal 
23363,deal,_deal 
23376,yes,_deal 
23382,deal,_deal 
23383,"ball , one book and one hat",_misc (_books:1 _hats:1 _balls:1) 
23385,deal,_deal 
23388,yes,_deal 
23392,ok,_deal 
23394,okay deal,_deal 
23400,okay,_deal 
23401,great,_deal 
23403,deal .,_deal 
23406,and i can have the balls too ?,_need (_balls:all) 
23407,ok deal,_deal 
23414,ok,_deal 
23419,deal,_deal 
23425,yes,_deal 
23433,"afraid not , i will take the hat",_need (_hats:1 ) 
23440,deal,_deal 
23445,deal,_deal 
23448,ok,_deal 
23449,deal,_deal 
23466,okay deal,_deal 
23469,okay,_deal 
23473,ok,_deal 
23479,deal .,_deal 
23481,deal .,_deal 
23484,deal,_deal 
23486,deal .,_deal 
23494,"ah , that won't work very well . how about you take both hats and i get the rest ?",_counteroffer _need (_books:rest _hats:rest _balls:rest) _offer (_hats:2 ) 
23511,deal .,_deal 
23513,deal,_deal 
23522,okay .,_deal 
23526,deal,_deal 
23529,ok,_deal 
23537,agreed,_deal 
23550,ok,_deal 
23551,no deal,_nodeal 
23558,deal,_deal 
23560,never,_nodeal 
23562,no deal,_nodeal 
23567,no deal .,_nodeal 
23568,no deal .,_nodeal 
23572,yes yes,_deal 
23573,nope,_nodeal 
23577,no deal,_nodeal 
23578,no deal,_nodeal 
23579,ok,_deal 
23586,ok deal,_deal 
23589,and one ball ?,_misc (_balls:1) 
23599,yup,_deal 
23600,deal,_deal 
23603,ok deal,_deal 
23607,deal,_deal 
23611,ok deal .,_deal 
23620,ok deal,_deal 
23634,deal .,_deal 
23639,great,_deal 
23644,ok,_deal 
23646,deal,_deal 
23650,i agree .,_deal 
23660,sounds good,_deal 
23678,yes,_deal 
23679,deal,_deal 
23687,deal .,_deal 
23689,deal,_deal 
23703,deal,_deal 
23706,deal . thank you .,_deal _thanks 
23713,thanks,_deal _thanks 
23718,and the hat ?,_misc (_hats:1 ) 
23721,agreed ; ) and good luck on your quest !,_deal 
23730,ball and 2 hats,_misc (_hats:2 _balls:1) 
23732,ok,_deal 
23737,deal,_deal 
23740,okay deal .,_deal 
23749,"awesome , glad we could both get what we wanted .",_deal 
23751,sure,_deal 
23754,deal .,_deal 
23773,no deal,_nodeal 
23780,no deal,_nodeal 
23786,okay great ! thank you !,_deal 
23788,ok,_deal 
23790,ok,_deal 
23797,no,_nodeal 
23803,no deal then .,_nodeal 
23813,deal,_deal 
23819,deal,_deal 
23820,ok deal,_deal 
23823,ok deal,_deal 
23828,deal,_deal 
23830,deal,_deal 
23832,agreed then . thank you .,_deal 
23844,deal,_deal 
23850,no,_nodeal 
23851,deal,_deal 
23855,yes,_deal 
23857,ok deal,_deal 
23870,no deal,_nodeal 
23871,nope,_nodeal 
23874,no deal .,_nodeal 
23875,no deal .,_nodeal 
23876,no deal .,_nodeal 
23880,no deal .,_nodeal 
23887,yep,_deal 
23897,no deal then,_nodeal 
23898,no deal,_nodeal 
23902,okay no deal .,_nodeal 
23903,no deal .,_nodeal 
23906,i can do that,_deal 
23909,deal !,_deal 
23911,deal !,_deal 
23913,deal . thank you,_deal _thanks 
23918,deal,_deal 
23919,ok,_deal 
23922,okay,_deal 
23929,no,_nodeal 
23930,no,_nodeal 
23931,ok,_deal 
23933,okay deal .,_deal 
23936,yes,_deal 
23938,ok deal,_deal 
23945,2 balls and book for me,_need (_books:1 _balls:2) 
23949,thanks,_deal _thanks 
23952,okay .,_deal 
23960,sounds good .,_deal 
23963,alright i will take the 3 books and you take the hat and ball,_need (_books:3 ) _offer (_hats:1 _balls:1) 
23966,deal,_deal 
23970,sounds good,_deal 
23974,deal .,_deal 
23975,yes .,_deal 
23977,balls and either a book or hat then,_misc (_books:? _hats:? _balls:all) 
23983,great,_deal 
23986,deal,_deal 
23990,ok thanks,_deal 
23991,ok,_deal 
23994,"book and 2 hats to me , rest to you",_need (_books:1 _hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
23998,"book and two hats to me , plus a bean burrito",_need (_books:1 _hats:2 ) 
24004,fine,_deal 
24011,sounds good .,_deal 
24017,balls and one book for me,_need (_books:1 _balls:all) 
24019,yes,_deal 
24021,ok,_deal 
24025,deal .,_deal 
24031,no deal .,_nodeal 
24038,alright no deal .,_nodeal 
24043,ok,_deal 
24047,"4 books tome is okay , i guess",_deal _need (_books:4 ) 
24048,yes,_deal 
24052,ball must be mine,_need (_balls:1) 
24053,ball and one hat for me,_need (_hats:1 _balls:1) 
24054,1 ball ad 3 hats please,_need (_hats:3 _balls:1) 
24058,deal,_deal 
24060,deal,_deal 
24064,deal,_deal 
24070,deal .,_deal 
24088,fine,_deal 
24096,deal,_deal 
24110,okay thank you !,_deal 
24117,ok,_deal 
24121,i agree .,_deal 
24126,no deal,_nodeal 
24127,deal,_deal 
24134,great,_deal 
24141,"ok , deal",_deal 
24145,are you sure you can't take all three balls ?,_need (_balls:3) 
24149,ok deal .,_deal 
24153,ok thanks,_deal 
24155,ok .,_deal 
24157,hi,_greeting 
24163,deal .,_deal 
24165,okay,_deal 
24174,ok,_deal 
24177,yes,_deal 
24178,deal,_deal 
24179,yes,_deal 
24184,agreed . i am not able to submit . can you ?,_deal 
24186,deal,_deal 
24196,deal .,_deal 
24199,deal,_deal 
24200,deal .,_deal 
24211,deal,_deal 
24212,any chance we can split the balls ? we each get 3 items ? i'll take the hats and 1 ball ?,_need (_hats:all _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
24229,yes,_deal 
24232,deal,_deal 
24236,alright . i will take one book and one ball . you can have one book and one hat . deal ?,_yes _need (_books:1 _balls:1) _offer (_books:1 _hats:1 ) 
24239,1 book 1 ball,_misc (_books:1 _balls:1) 
24252,no deal .,_nodeal 
24263,deal,_deal 
24275,deal,_deal 
24288,great,_deal 
24291,ok deal,_deal 
24296,ok,_deal 
24300,ok .,_deal 
24301,yes .,_deal 
24307,deal,_deal 
24315,ok,_deal 
24316,yes,_deal 
24317,balls are worthless to me . i need the hats and book,_need (_books:1 _hats:all _balls:0) 
24321,ok,_deal 
24322,hi,_greeting 
24341,bhahahahahahahaha . so i can have 0 points ? no thank you .,_nodeal 
24345,no deal,_nodeal 
24346,no deal,_nodeal 
24349,"ok , no deal",_nodeal 
24350,no deal,_nodeal 
24351,no deal,_nodeal 
24354,deal .,_deal 
24359,deal !,_deal 
24361,ok,_deal 
24362,books and hats,_misc (_books:all _hats:all ) 
24365,balls worth 0 for me,_need (_balls:0) 
24367,ok deal,_deal 
24369,no deal,_nodeal 
24376,ok,_deal 
24380,no deal .,_nodeal 
24381,sounds good .,_deal 
24382,ok,_deal 
24384,deal,_deal 
24391,deal .,_deal 
24402,book and 3 balls for me,_need (_books:1 _balls:3) 
24403,yes,_deal 
24408,deal !,_deal 
24411,ok,_deal 
24413,i can't do that,_nodeal 
24415,fine,_deal 
24417,no can do,_nodeal 
24429,fine,_deal 
24432,all the books and 1 ball,_misc (_books:all _balls:1) 
24439,thanks,_deal _thanks 
24440,ok,_deal 
24441,hi,_greeting 
24444,deal,_deal 
24454,1 book 3 hats and the ball,_misc (_books:1 _hats:3 _balls:1) 
24455,1 hat .,_misc (_hats:1 ) 
24467,deal .,_deal 
24471,deal,_deal 
24478,deal,_deal 
24481,thx,_deal _thanks 
24502,deal,_deal 
24508,yes,_deal 
24512,"book and balls to me , hats to you",_need (_books:1 _balls:all) _offer (_hats:all ) 
24514,ok,_deal 
24518,ok,_deal 
24523,no deal,_nodeal 
24524,no deal,_nodeal 
24525,no deal,_nodeal 
24528,agreed . no deal .,_nodeal 
24529,no deal .,_nodeal 
24530,no deal .,_nodeal 
24539,deal .,_deal 
24545,okay,_deal 
24548,ok,_deal 
24551,okay great ! thank you !,_deal 
24554,book and one hat for me .,_need (_books:1 _hats:1 ) 
24556,no deal,_nodeal 
24564,deal,_deal 
24566,okay great !,_deal 
24577,no,_nodeal 
24578,no deal,_nodeal 
24580,no deal,_nodeal 
24583,deal,_deal 
24591,alright,_deal 
24607,deal .,_deal 
24614,okay thank you !,_deal 
24621,deal,_deal 
24631,deal,_deal 
24635,deal,_deal 
24638,deal,_deal 
24643,"as you seem passionate about both books , i can let you have two along with the bowl in exchange for future considerations .",_offer (_books:2 _balls:1) 
24650,ok deal .,_deal 
24654,i agree .,_deal 
24657,lol . no .,_nodeal 
24663,i agree .,_deal 
24671,hello,_greeting 
24675,"alright , so i get book and two hats",_deal _need (_books:1 _hats:2 ) 
24696,great !,_deal 
24697,deal,_deal 
24700,no deal,_nodeal 
24701,no deal,_nodeal 
24702,no deal,_nodeal 
24703,no deal,_nodeal 
24705,no deal,_nodeal 
24706,no deal,_nodeal 
24707,no deal,_nodeal 
24708,no deal,_nodeal 
24717,agreed,_deal 
24722,deal,_deal 
24735,ok,_deal 
24740,deal,_deal 
24742,along with one hat,_misc (_hats:1 ) 
24743,yes,_deal 
24745,deal,_deal 
24752,ok deal,_deal 
24759,okay thank you !,_deal 
24765,deal,_deal 
24768,deal .,_deal 
24772,deal,_deal 
24774,agreed deal !,_deal 
24786,"alright , no deal for both",_nodeal 
24798,yes,_deal 
24810,deal,_deal 
24815,deal,_deal 
24817,deal,_deal 
24821,yes,_deal 
24824,ok,_deal 
24827,. . . then the only way to make this work is i keep everything else and you take the book ? deal ?,_need (_hats:all _balls:all) _offer (_books:1 ) 
24833,"2 : 3 is fair , as in one ball and one hat for me , one hat and two books for you .",_need (_hats:1 _balls:1) _offer (_books:2 _hats:1 ) 
24839,4 : 1 is not fair . you can have both hats and one book .,_counteroffer _offer (_books:1 _hats:2 ) 
24846,deal,_deal 
24849,thanks,_deal _thanks 
24855,okay deal,_deal 
24867,book and the balls if you are taking the hat . take it or leave it .,_need (_books:1 _balls:all) _offer (_hats:1 ) 
24873,no deal .,_nodeal 
24874,no deal .,_nodeal 
24881,alright .,_deal 
24900,deal,_deal 
24906,okay thank you !,_deal 
24908,sure,_deal 
24913,no deal,_nodeal 
24916,nope,_nodeal 
24917,no deal,_nodeal 
24918,no deal,_nodeal 
24922,ok,_deal 
24925,okay great ! thank you !,_deal 
24932,sure,_deal 
24935,sounds good,_deal 
24938,no,_nodeal 
24941,all the rest is too low,_nodeal 
24943,thank you !,_deal 
24944,ok,_deal 
24946,ok,_deal 
24958,deal .,_deal 
24961,deal,_deal 
24964,no deal,_nodeal 
24965,okay,_deal 
24967,balls are no value to me . . . i need the book and at least 1 hat .,_need (_books:1 _hats:1 ) 
24968,no deal it is .,_nodeal 
24972,balls are worthless for me .,_need (_balls:0) 
24973,"ok , thanks",_deal 
24977,deal,_deal 
24981,yes .,_deal 
24983,okay great ! thank you !,_deal 
24985,ok deal,_deal 
24988,ok,_deal 
24990,1 book and 1 hat for you,_offer (_books:1 _hats:1 ) 
24994,deal,_deal 
25000,yes,_deal 
25003,no deal then,_nodeal 
25007,sure,_deal 
25010,deal,_deal 
25014,great !,_deal 
25019,great,_deal 
25021,sounds good,_deal 
25022,deal .,_deal 
25026,deal,_deal 
25039,1 ball 1 hat and 1 book,_misc (_books:1 _hats:1 _balls:1) 
25044,deal .,_deal 
25048,deal .,_deal 
25049,any chance i can get one of the hats and the book ?,_need (_books:1 _hats:1 ) 
25052,thank you,_deal _thanks 
25056,okay,_deal 
25064,deal .,_deal 
25076,great,_deal 
25079,deal,_deal 
25081,okay thank you !,_deal 
25088,ok deal,_deal 
25091,deal .,_deal 
25094,deal !,_deal 
25100,"ok , deal .",_deal 
25111,deal,_deal 
25115,"okay , deal",_deal 
25119,ok deal,_deal 
25132,alright,_deal _need (_hats:1 _balls:1) _offer (_books:all _hats:1 ) 
25152,thanks,_deal _thanks 
25155,i can't do that,_nodeal 
25158,great,_deal 
25168,sure,_deal 
25184,deal,_deal 
25188,no deal,_nodeal 
25189,no deal,_nodeal 
25190,no deal,_nodeal 
25192,no deal then,_nodeal 
25193,no deal,_nodeal 
25194,no deal,_nodeal 
25195,no deal,_nodeal 
25199,alright take the ball and one book then .,_yes _offer (_books:1 _balls:1) 
25203,fine,_deal 
25206,deal,_deal 
25209,sounds good,_deal 
25211,okay,_deal 
25213,deal,_deal 
25217,no deal .,_nodeal 
25218,no deal .,_nodeal 
25219,no deal,_nodeal 
25221,then no deal,_nodeal 
25222,no deal,_nodeal 
25223,no deal,_nodeal 
25226,sure,_deal 
25230,a ball and hat,_misc (_hats:1 _balls:1) 
25231,okay,_deal 
25234,deal,_deal 
25235,deal,_deal 
25240,deal,_deal 
25242,2 balls and we have a deal,_misc (_balls:2) 
25243,1 ball and a hat,_misc (_hats:1 _balls:1) 
25246,ok deal,_deal 
25251,yes,_deal 
25263,deal,_deal 
25266,deal .,_deal 
25281,okay thank you !,_deal 
25282,deal .,_deal 
25283,are you a basketball fan ?,_misc (_balls:all) 
25301,no deal,_nodeal 
25312,no deal,_nodeal 
25314,deal,_deal 
25317,deal .,_deal 
25322,there is no deal here,_nodeal 
25323,book and 2 hats to me,_need (_books:1 _hats:2 ) 
25324,"3 hats to me , the book , and 2 balls . you get valentine signed by yours truly .",_misc (_books:1 _balls:2) _need (_hats:3 ) 
25330,ball is yours . i need the books but i can give you 1 hat if you need it .,_need (_books:all ) _offer (_hats:1 _balls:1) 
25334,deal,_deal 
25341,no deal,_nodeal 
25342,no deal,_nodeal 
25346,okay no deal .,_nodeal 
25347,no deal,_nodeal 
25349,4 balls and the hat to me,_need (_hats:1 _balls:4) 
25356,great,_deal 
25359,deal,_deal 
25367,alright .,_deal 
25368,yes .,_deal 
25373,no deal,_nodeal 
25375,great !,_deal 
25377,sure,_deal 
25378,"ball and a book for me , the rest to you",_need (_books:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
25381,yup,_deal 
25384,deal,_deal 
25390,deal,_deal 
25394,"1 book , 1 ball for me ; 3 hats , 1 ball for you ? deal .",_need (_books:1 _balls:1) _offer (_hats:3 _balls:1) 
25404,okay no deal .,_nodeal 
25405,okay thank you !,_deal 
25412,thanks,_deal _thanks 
25414,deal .,_deal 
25420,"fine , thanks",_deal 
25424,deal,_deal 
25428,fine,_deal 
25433,ok deal,_deal 
25439,"um , no",_nodeal 
25441,thanks,_deal _thanks 
25445,ok,_deal 
25456,no deal,_nodeal 
25458,3 hats for 1 book and 3 balls,_need (_hats:3 ) _offer (_books:1 _balls:2) 
25460,yes,_deal 
25464,deal,_deal 
25467,"ok , deal .",_deal 
25468,sounds good .,_deal 
25482,yes,_deal 
25484,thanks .,_deal 
25488,deal .,_deal 
25491,ok deal,_deal 
25498,ok deal,_deal 
25499,ball and 2 books please and you could keep the rest,_need (_books:2 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
25508,ok deal,_deal 
25509,nah son,_nodeal 
25511,and since you're a condescending and off - putting you get no deal .,_nodeal 
25513,no deal .,_nodeal 
25522,deal .,_deal 
25525,deal,_deal 
25531,no deal then,_nodeal 
25543,no can do,_nodeal 
25544,no deal .,_nodeal 
25546,no can do,_nodeal 
25548,no can do,_nodeal 
25549,no deal,_nodeal 
25552,thanks,_deal _thanks 
25554,ok deal .,_deal 
25561,no deal,_nodeal 
25564,no deal,_nodeal 
25576,"at the least i would need the ball , a book and a hat .",_need (_books:1 _hats:1 _balls:1) 
25580,deal,_deal 
25585,deal .,_deal 
25591,yes,_deal 
25592,yes,_deal 
25608,nah,_nodeal 
25611,3 balls no hat,_misc (_hats:0 _balls:3) 
25612,nah,_nodeal 
25613,no deal,_nodeal 
25616,deal,_deal 
25620,yes,_deal 
25621,thx,_deal _thanks 
25623,ok deal .,_deal 
25631,yep,_deal 
25633,nd,_nodeal 
25640,ok deal .,_deal 
25644,"alright , deal . i take the ball , you take the rest .",_deal _need (_balls:1) _offer (_books:rest _hats:rest _balls:rest) 
25647,deal,_deal 
25649,ok,_deal 
25658,1 book and give ne the ball,_need (_balls:1) _offer (_books:1 ) 
25664,i can't do that,_nodeal 
25669,deal,_deal 
25676,"ok , deal .",_deal 
25678,deal,_deal 
25679,deal,_deal 
25683,deal,_deal 
25691,ok deal,_deal 
25699,ok,_deal 
25701,deal,_deal 
25702,yes,_deal 
25705,okay deal .,_deal 
25707,balls and books for me,_need (_books:all _balls:all) 
25712,"1 ) one book and one hat , or 2 ) two hats .",_misc (_books:1 _hats:1 ) 
25713,no,_nodeal 
25715,ball is not even negotiable at this point . i've given you options while you just suggest random things . you can have an unsuited pair (book & hat) or a suited pair of hats .,_need (_balls:1) _offer (_books:1 _hats:1 ) 
25716,no . choose .,_nodeal 
25724,"4 of a kind aces , i win ? gimme book and both hats , and half the ball .",_need (_books:1 _hats:2 ) 
25726,ball for everything else,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
25728,ball for all others,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
25731,ok,_deal 
25739,no deal,_nodeal 
25752,ok,_deal 
25755,sounds good,_deal 
25757,alright youcan have three hats and one book ?,_offer (_books:1 _hats:3 ) 
25759,deal .,_deal 
25771,no deal,_nodeal 
25772,no deal,_nodeal 
25775,yep,_deal 
25776,no deal,_nodeal 
25777,no deal,_nodeal 
25781,ok deal,_deal 
25785,thank you .,_deal 
25787,deal,_deal 
25800,ok,_deal 
25807,deal .,_deal 
25812,ok,_deal 
25813,ok,_deal 
25823,"book is straight up the only thing that has value for me , i would like it and nothing else .",_need (_books:1 ) 
25824,deal .,_deal 
25835,ok,_deal 
25840,and i need the hats and ball,_need (_hats:all _balls:1) 
25841,ok,_deal 
25843,2 hats and 2 books for me ?,_need (_books:2 _hats:2 ) 
25848,no deal,_nodeal 
25853,"agreed , no deal .",_nodeal 
25857,no deal,_nodeal 
25858,no deal,_nodeal 
25862,no deal,_nodeal 
25863,no deal,_nodeal 
25866,deal,_deal 
25868,ball and two books is perfectly fair,_misc (_books:2 _balls:1) 
25870,sure,_deal 
25876,deal .,_deal 
25892,sounds good,_deal 
25897,"ball is useless to me . . no points . can you propose something better ? i'm ok with one book , two hats ?",_need (_books:1 _hats:2 _balls:0) 
25898,deal,_deal 
25899,are you willing to let go of the hat for the rest of the stuff ?,_need (_hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
25901,yes .,_deal 
25913,deal,_deal 
25915,deal .,_deal 
25920,sounds good,_deal 
25921,deal,_deal 
25923,deal,_deal 
25926,deal,_deal 
25927,okay deal .,_deal 
25952,fine,_deal 
25955,ok,_deal 
25957,thanks,_deal _thanks 
25963,ok,_deal 
25966,i can do that,_deal 
25971,no deal,_nodeal 
25972,no deal,_nodeal 
25976,no deal,_nodeal 
25977,no deal,_nodeal 
25981,balls have 0 value for me,_need (_balls:0) 
25982,ok,_deal 
25984,no deal,_nodeal 
25989,deal,_deal 
25994,okay,_deal 
25995,ok,_deal 
25997,deal !,_deal 
25998,deal .,_deal 
26016,no deal,_nodeal 
26017,no deal,_nodeal 
26018,no deal,_nodeal 
26021,ok no deal,_nodeal 
26022,no deal,_nodeal 
26023,no deal,_nodeal 
26024,all i need is the the ball .,_need (_balls:1) 
26029,okay .,_deal 
26032,okay great ! thank you !,_deal 
26039,yes,_deal 
26043,thanks,_deal _thanks 
26048,ok,_deal 
26052,no deal,_nodeal 
26053,book and one ball for you,_offer (_books:1 _balls:1) 
26054,ok,_deal 
26056,no deal,_nodeal 
26060,"yep , thanks",_deal 
26066,deal,_deal 
26070,ok,_deal 
26072,ok,_deal 
26075,deal,_deal 
26076,deal,_deal 
26077,"all books to me , you have all the rest",_need (_books:all ) _offer (_books:rest _hats:rest _balls:rest) 
26079,alright sounds good .,_deal 
26083,great,_deal 
26091,no deal,_nodeal 
26096,no deal then .,_nodeal 
26097,okay .,_deal 
26098,deal .,_deal 
26100,great ! thank you !,_deal 
26103,as long as i can get the hat too .,_need (_hats:1 ) 
26105,ok,_deal 
26111,nope,_nodeal 
26113,no deal,_nodeal 
26114,no deal,_nodeal 
26115,no deal,_nodeal 
26118,okay no deal .,_nodeal 
26119,no deal .,_nodeal 
26120,no deal,_nodeal 
26123,deal,_deal 
26129,book and 3 hats for me,_need (_books:1 _hats:3 ) 
26133,sounds good .,_deal 
26139,ok deal,_deal 
26141,ok,_deal 
26146,"1 hat or the rest are the same amount of points for me , and its low",_need (_hats:1 ) 
26148,ok,_deal 
26157,deal,_deal 
26161,ok,_deal 
26162,ok,_deal 
26173,great,_deal 
26190,book is worth 6 to me the hats are worth 0 . i have to have the book for this to remotely work .,_need (_books:1 _hats:0 ) 
26199,ok deal,_deal 
26203,book yes but only one hat for you,_need (_books:1 ) _offer (_hats:1 ) 
26205,ok,_deal 
26213,yep,_deal 
26215,are we at no deal territory,_nodeal 
26216,ok,_deal 
26218,ok,_deal 
26222,okay,_deal 
26228,i can do that,_deal 
26230,: - ) yeah that's exactly what i need for my friend with skin cancer who is in the hospital,_thanks 
26237,ok,_deal 
26239,deal,_deal 
26242,thanks !,_deal _thanks 
26243,yess,_deal 
26244,book and hats,_misc (_books:1 _hats:all ) 
26245,ok deal,_deal 
26249,great,_deal 
26253,ok,_deal 
26258,and the hats ?,_misc (_hats:all ) 
26260,ok,_deal 
26263,yes,_deal 
26275,no deal,_nodeal 
26276,ok,_deal 
26280,deal,_deal 
26284,okay deal .,_deal 
26285,balls and books for me,_need (_books:all _balls:all) 
26295,no deal then .,_nodeal 
26296,no deal,_nodeal 
26301,no deal,_nodeal 
26303,ok deal,_deal 
26306,deal,_deal 
26313,sure,_deal 
26322,deal .,_deal 
26324,deal,_deal 
26326,great,_deal 
26327,deal,_deal 
26330,"agreed , how much ball worth ?",_deal _misc (_balls:1) 
26350,"ok , deal .",_deal 
26352,no,_nodeal 
26359,ok,_deal 
26360,ok,_deal 
26363,okay,_deal 
26367,cool,_deal 
26375,no deal,_nodeal 
26376,no deal,_nodeal 
26377,ball and three hats for me,_need (_books:3 _balls:1) 
26378,ball to you everything else to me,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
26379,ok no deal,_nodeal 
26380,no deal,_nodeal 
26381,no deal,_nodeal 
26383,"alright , the balls and one book ?",_counteroffer _misc (_books:1 _balls:all) 
26390,deal,_deal 
26396,deal,_deal 
26400,deal,_deal 
26407,deal,_deal 
26414,deal,_deal 
26417,thank you !,_deal 
26423,deal,_deal 
26425,and i get the balls and one hat ? deal,_yes _need (_hats:1 _balls:all) 
26427,deal,_deal 
26429,okay,_deal 
26433,ok,_deal 
26436,ok,_deal 
